date,time,customerId,location,plateId
11/17/24,12:33,19,blueribbon,10c
11/17/24,12:35,21,alpine,5b
11/17/24,12:35,25,alpine,5a
11/17/24,12:35,30,alpine,5a
11/17/24,12:45,6,alpine,5b
11/17/24,12:45,8,quad,1a
11/17/24,12:48,13,quad,1a
11/17/24,12:53,15,quad,1c
11/17/24,12:53,19,quad,1a
11/17/24,12:53,30,quad,1b
11/17/24,13:18,13,quad,1d
